word,solar01
"Diaminomaleonitrile",1
"Lewis",1
"Base",1
"Additive",1
"for",3
"PushPull",1
"Electron",1
"Extraction",1
"Efficient",1
"and",5
"Stable",1
"TinBased",1
"Perovskite",1
"Solar",1
"Cells",1
"Tinbased",1
"perovskite",7
"solar",2
"cells",2
"SnPSCs",4
"have",1
"been",1
"attracting",1
"researchers’",1
"attention",1
"as",3
"a",4
"promising",1
"material",1
"fabrication",1
"of",9
"ecofriendly",1
"However",1
"the",16
"power",2
"conversion",1
"efficiency",1
"PCE",2
"stability",1
"are",2
"still",1
"inferior",1
"compared",2
"to",9
"those",1
"leadbased",1
"PSCs",2
"This",1
"is",1
"due",1
"some",1
"basic",1
"problems",1
"in",5
"Sn",1
"materials",1
"such",1
"easier",1
"oxidation",1
"Sn2",1
"Sn4",1
"leading",1
"faster",1
"recombination",2
"which",1
"increases",1
"electron",5
"loss",2
"In",1
"this",1
"work",2
"we",1
"focused",1
"on",1
"minimizing",1
"during",1
"transportation",3
"from",3
"FASnI3",2
"layer",3
"adjacent",2
"electrontransport",1
"ETL",2
"by",2
"introducing",1
"diaminomaleonitrile",1
"DAMN",3
"precursor",1
"with",2
"two",1
"cyano",1
"groups",1
"its",1
"skeleton",1
"can",1
"an",2
"electronwithdrawing",1
"group",1
"extract",1
"electrons",1
"effectively",1
"transfer",1
"them",1
"Our",1
"finding",1
"highlights",1
"that",1
"FASnI3DAMNbased",1
"possess",1
"42",1
"higher",1
"mobility",1
"pristine",1
"transient",1
"photocurrent",1
"decay",1
"lifetimes",1
"accelerated",1
"23",1
"times",1
"revealing",1
"enhancement",2
"after",1
"incorporation",1
"Apart",1
"successful",1
"FASnI3DAMN",3
"absorbers",1
"showed",2
"reduced",1
"charge",1
"carrier",1
"rate",1
"thanks",1
"simultaneous",1
"reduction",1
"lattice",1
"strain",1
"film",1
"Consequently",1
"fabricated",1
"perovskites",1
"enhanced",1
"811",1
"highly",1
"light",1
"soaking",1
"stable",1
"performance",1
"over",1
"300",1
"h",1
"when",1
"measured",1
"under",1
"maximum",1
"point",1
"tracking",1
"conditions",1
